entry_i,entry_time,side,oz,entry_px,signal_expiry_i,exit_time,exit_px,gross_pnl,costs,net_pnl,exit_reason,bars_held
56663,1719964800,1,1.0,2330.07,56714,1719980400,2329.48,-0.5900000000001455,0.16,-0.7500000000001456,signal,52
56826,1720013700,1,1.0,2352.37,56909,1720038900,2354.78,2.4100000000003092,0.16,2.250000000000309,signal,84
58164,1720616700,1,1.0,2378.38,58247,1720641900,2371.63,-6.75,0.16,-6.91,signal,84
58445,1720704900,1,1.0,2399.63,58528,1720730100,2416.05,16.420000000000073,0.16,16.260000000000073,signal,84
59022,1721058900,1,1.0,2429.9,59105,1721076900,2422.04,-7.860000000000127,0.16,-8.020000000000127,session,59
59300,1721146200,1,1.0,2455.98,59383,1721163300,2467.05,11.070000000000164,0.16,10.910000000000164,session,56
59381,1721174400,1,1.0,2469.0,59383,1721175300,2469.7,0.6999999999998181,0.16,0.5399999999998181,signal,3
59843,1721316900,-1,1.0,2460.83,59926,1721336100,2442.45,18.38000000000011,0.16,18.22000000000011,session,63
60923,1721829600,1,1.0,2421.48,61006,1721854500,2401.77,-19.710000000000036,0.16,-19.870000000000037,session,82
61827,1722285600,1,1.0,2384.94,61910,1722286500,2383.53,-1.4099999999998545,0.16,-1.5699999999998544,session,2
61854,1722297600,1,1.0,2384.05,61910,1722314700,2384.8,0.75,0.16,0.59,signal,57
62028,1722349800,1,1.0,2394.56,62111,1722372900,2407.24,12.679999999999836,0.16,12.519999999999836,session,76
62377,1722458400,1,1.0,2449.79,62460,1722459300,2448.79,-1.0,0.16,-1.16,session,2
62404,1722470400,1,1.0,2447.62,62460,1722487500,2442.81,-4.809999999999945,0.16,-4.969999999999946,signal,57
62565,1722518700,1,1.0,2445.17,62648,1722543900,2442.04,-3.130000000000109,0.16,-3.2900000000001093,signal,84
62842,1722605700,1,1.0,2473.57,62925,1722630900,2434.85,-38.720000000000255,0.16,-38.88000000000025,signal,84
64504,1723473900,1,1.0,2452.04,64587,1723496100,2470.93,18.889999999999873,0.16,18.729999999999873,session,73
64765,1723556100,1,1.0,2470.37,64848,1723581300,2463.49,-6.880000000000109,0.16,-7.040000000000109,signal,84
65310,1723727400,1,1.0,2465.63,65393,1723752600,2460.57,-5.059999999999945,0.16,-5.219999999999946,signal,84
65583,1723813200,1,1.0,2472.21,65666,1723838400,2503.37,31.159999999999854,0.16,30.999999999999854,signal,84
66483,1724268000,1,1.0,2518.91,66566,1724273700,2513.0,-5.9099999999998545,0.16,-6.069999999999855,session,18
66526,1724284800,1,1.0,2514.0,66566,1724297100,2505.48,-8.519999999999982,0.16,-8.679999999999982,signal,41
66982,1724425500,1,1.0,2510.87,67065,1724445900,2510.29,-0.5799999999999272,0.16,-0.7399999999999273,session,67
67259,1724685600,-1,1.0,2516.04,67342,1724695500,2522.36,-6.320000000000164,0.16,-6.480000000000164,signal,33
67292,1724695500,1,1.0,2522.36,67375,1724705700,2518.77,-3.5900000000001455,0.16,-3.7500000000001457,session,33
67350,1724716800,1,1.0,2517.31,67375,1724724600,2512.63,-4.679999999999836,0.16,-4.839999999999836,signal,26
67583,1724786700,1,1.0,2523.34,67666,1724792100,2525.24,1.8999999999996362,0.16,1.7399999999996363,session,17
67625,1724803200,1,1.0,2525.66,67666,1724815800,2515.99,-9.670000000000073,0.16,-9.830000000000073,signal,42
67799,1724855400,1,1.0,2510.16,67882,1724878500,2507.59,-2.569999999999709,0.16,-2.729999999999709,session,76
68853,1725369300,1,1.0,2498.02,68936,1725396900,2492.51,-5.5099999999997635,0.16,-5.669999999999764,session,91
68969,1725408000,1,1.0,2493.18,69020,1725423600,2495.32,2.1400000000003274,0.16,1.9800000000003275,signal,52
69150,1725462300,1,1.0,2493.06,69233,1725483300,2492.55,-0.5099999999997635,0.16,-0.6699999999997636,session,69
69682,1725629700,1,1.0,2524.39,69765,1725654900,2494.23,-30.159999999999854,0.16,-30.319999999999855,signal,84
69956,1725888900,1,1.0,2503.53,70039,1725914100,2503.04,-0.49000000000023647,0.16,-0.6500000000002365,signal,84
70236,1725976800,1,1.0,2513.88,70319,1726001700,2516.4,2.519999999999982,0.16,2.3599999999999817,session,82
70783,1726148700,1,1.0,2527.61,70866,1726173900,2557.3,29.690000000000055,0.16,29.530000000000054,signal,84
71065,1726237200,1,1.0,2580.23,71148,1726260300,2581.51,1.2800000000002,0.16,1.1200000000002002,session,76
71946,1726686300,1,1.0,2582.89,72029,1726692900,2550.36,-32.529999999999745,0.16,-32.68999999999974,session,21
71992,1726704000,1,1.0,2559.34,72029,1726715400,2558.05,-1.2899999999999636,0.16,-1.4499999999999635,signal,38
73029,1727199900,1,1.0,2653.99,73112,1727211300,2661.93,7.940000000000055,0.16,7.780000000000054,session,37
73091,1727222400,1,1.0,2659.16,73112,1727229000,2658.92,-0.23999999999978172,0.16,-0.39999999999978175,signal,22
73261,1727273400,1,1.0,2664.19,73344,1727297700,2659.84,-4.349999999999909,0.16,-4.509999999999909,session,80
74365,1727793300,1,1.0,2663.53,74448,1727816100,2661.23,-2.300000000000182,0.16,-2.460000000000182,session,75
75123,1728032400,-1,1.0,2661.07,75206,1728057600,2658.42,2.650000000000091,0.16,2.490000000000091,signal,84
75375,1728285000,-1,1.0,2640.92,75458,1728310200,2645.41,-4.489999999999782,0.16,-4.649999999999782,signal,84
76547,1728652200,1,1.0,2645.94,76630,1728677400,2658.21,12.269999999999982,0.16,12.109999999999982,signal,84
77100,1728999000,1,1.0,2655.44,77183,1729024200,2666.08,10.639999999999873,0.16,10.479999999999873,signal,84
78239,1729529400,-1,1.0,2723.05,78322,1729544100,2720.73,2.3200000000001637,0.16,2.1600000000001636,session,48
78312,1729555200,-1,1.0,2720.74,78322,1729558500,2720.89,-0.15000000000009095,0.16,-0.310000000000091,signal,11
78728,1729683900,-1,1.0,2750.84,78811,1729709100,2714.09,36.75,0.16,36.59,signal,84
79013,1729773300,-1,1.0,2737.63,79096,1729798500,2736.16,1.4700000000002547,0.16,1.3100000000002547,signal,84
79320,1729869300,1,1.0,2737.72,79403,1729889100,2743.92,6.200000000000273,0.16,6.040000000000273,session,65
79835,1730204700,-1,1.0,2748.55,79918,1730213400,2762.93,-14.379999999999654,0.16,-14.539999999999655,signal,29
79864,1730213400,1,1.0,2762.93,79947,1730235300,2772.78,9.850000000000364,0.16,9.690000000000364,session,72
80079,1730281800,-1,1.0,2780.52,80162,1730307000,2783.79,-3.269999999999982,0.16,-3.429999999999982,signal,84
80337,1730363100,-1,1.0,2781.39,80420,1730388300,2751.51,29.879999999999654,0.16,29.719999999999654,signal,84
80622,1730452500,-1,1.0,2752.46,80705,1730477700,2747.55,4.9099999999998545,0.16,4.749999999999854,signal,84
80707,1730478000,-1,1.0,2748.56,80790,1730493900,2735.23,13.329999999999927,0.16,13.169999999999927,session,52
80785,1730678400,-1,1.0,2738.37,80790,1730680200,2739.6,-1.2300000000000182,0.16,-1.390000000000018,signal,6
80896,1730711700,-1,1.0,2733.84,80979,1730753700,2737.18,-3.3399999999996908,0.16,-3.499999999999691,session,139
81060,1730764800,-1,1.0,2736.07,81063,1730766000,2735.33,0.7400000000002365,0.16,0.5800000000002364,signal,4
81196,1730805600,-1,1.0,2739.57,81279,1730830800,2740.86,-1.2899999999999636,0.16,-1.4499999999999635,signal,84
81420,1730876700,-1,1.0,2712.14,81503,1730901900,2657.36,54.779999999999745,0.16,54.61999999999975,signal,84
81768,1730985000,1,1.0,2676.82,81851,1731010200,2701.01,24.190000000000055,0.16,24.030000000000054,signal,84
81855,1731011100,1,1.0,2709.83,81938,1731012900,2703.33,-6.5,0.16,-6.66,session,5
81885,1731024000,1,1.0,2706.94,81938,1731040200,2693.99,-12.950000000000273,0.16,-13.110000000000273,signal,54
82052,1731074100,1,1.0,2700.57,82135,1731098700,2687.3,-13.269999999999982,0.16,-13.429999999999982,session,81
82388,1731351900,1,1.0,2620.03,82471,1731358500,2623.53,3.5,0.16,3.34,session,21
82434,1731369600,1,1.0,2623.99,82471,1731381000,2622.8,-1.1899999999995998,0.16,-1.3499999999995997,signal,38
82872,1731504900,1,1.0,2612.05,82955,1731530100,2574.97,-37.08000000000038,0.16,-37.24000000000038,signal,84
